,Tachometer main frequency,Class6,Class10,Tachometer mean,Tachometer entropy,Tachometer kurtosis,Tachometer rms,Tachometer peak to peak,Tachometer shape indicator,Tachometer impulse indicator,Tachometer crest indicator,Tachometer clearance indicator,Tachometer skewness,Underhang bearing accelerometer axial mean,Underhang bearing accelerometer axial entropy,Underhang bearing accelerometer axial kurtosis,Underhang bearing accelerometer axial rms,Underhang bearing accelerometer axial peak to peak,Underhang bearing accelerometer axial shape indicator,Underhang bearing accelerometer axial impulse indicator,Underhang bearing accelerometer axial crest indicator,Underhang bearing accelerometer axial clearance indicator,Underhang bearing accelerometer axial skewness,Underhang bearing accelerometer radiale mean,Underhang bearing accelerometer radiale entropy,Underhang bearing accelerometer radiale kurtosis,Underhang bearing accelerometer radiale rms,Underhang bearing accelerometer radiale peak to peak,Underhang bearing accelerometer radiale shape indicator,Underhang bearing accelerometer radiale impulse indicator,Underhang bearing accelerometer radiale crest indicator,Underhang bearing accelerometer radiale clearance indicator,Underhang bearing accelerometer radiale skewness,Underhang bearing accelerometer tangential mean,Underhang bearing accelerometer tangential entropy,Underhang bearing accelerometer tangential kurtosis,Underhang bearing accelerometer tangential rms,Underhang bearing accelerometer tangential peak to peak,Underhang bearing accelerometer tangential shape indicator,Underhang bearing accelerometer tangential impulse indicator,Underhang bearing accelerometer tangential crest indicator,Underhang bearing accelerometer tangential clearance indicator,Underhang bearing accelerometer tangential skewness,Overhang bearing accelerometer axial mean,Overhang bearing accelerometer axial entropy,Overhang bearing accelerometer axial kurtosis,Overhang bearing accelerometer axial rms,Overhang bearing accelerometer axial peak to peak,Overhang bearing accelerometer axial shape indicator,Overhang bearing accelerometer axial impulse indicator,Overhang bearing accelerometer axial crest indicator,Overhang bearing accelerometer axial clearance indicator,Overhang bearing accelerometer axial skewness,Overhang bearing accelerometer radiale mean,Overhang bearing accelerometer radiale entropy,Overhang bearing accelerometer radiale kurtosis,Overhang bearing accelerometer radiale rms,Overhang bearing accelerometer radiale peak to peak,Overhang bearing accelerometer radiale shape indicator,Overhang bearing accelerometer radiale impulse indicator,Overhang bearing accelerometer radiale crest indicator,Overhang bearing accelerometer radiale clearance indicator,Overhang bearing accelerometer radiale skewness,Overhang bearing accelerometer tangential mean,Overhang bearing accelerometer tangential entropy,Overhang bearing accelerometer tangential kurtosis,Overhang bearing accelerometer tangential rms,Overhang bearing accelerometer tangential peak to peak,Overhang bearing accelerometer tangential shape indicator,Overhang bearing accelerometer tangential impulse indicator,Overhang bearing accelerometer tangential crest indicator,Overhang bearing accelerometer tangential clearance indicator,Overhang bearing accelerometer tangential skewness,Microphone mean,Microphone entropy,Microphone kurtosis,Microphone rms,Microphone peak to peak,Microphone shape indicator,Microphone impulse indicator,Microphone crest indicator,Microphone clearance indicator,Microphone skewness,filePath
0,12,normal,normal,0.002929912,2.155788658,4.304473128,1.585572251,-6.2337,1.617276653,5.209933314,3.221423684,6.496703089,2.50040281,-0.002660563,3.540816691,-1.06573223,0.979177775,-4.6713,1.149974539,3.691112146,3.209733798,4.124692198,-0.296534487,-0.00063164,2.531201811,-0.725944905,0.307370593,-2.33331,1.16097914,6.455117684,5.560063452,7.227169483,-0.391702465,0.000324066,1.510403334,-0.377438575,0.044809791,-0.36179,1.221301307,5.136521212,4.205777218,5.963074933,-0.218166944,0.031087695,3.320746786,-0.387141164,0.668827447,-4.2564,1.22760189,4.185018246,3.409100523,4.883290236,0.163728608,0.003156017,1.46257819,-0.767459312,0.030364412,-0.16862,1.192259049,3.363755217,2.821329157,3.852310379,-0.093601529,0.004970038,2.212823344,-0.250981187,0.197574977,-1.44606,1.236777415,4.948925561,4.001468253,5.793055737,-0.051334434,0.008015804,1.818506888,0.06530859,0.112424865,-0.77416,1.22168593,5.872358178,4.806765826,6.752479724,0.685549851,D:/full//normal\12.288.csv
1,12.8,normal,normal,0.005694511,2.153490057,4.168970015,1.596102944,-6.2125,1.609710012,5.110197096,3.174607263,6.361799677,2.473622735,0.016243974,3.776303857,-0.984752946,1.245586433,-6.4158,1.156582399,4.11828045,3.560732426,4.621159405,-0.360693476,-0.000479084,2.538078109,-0.660422701,0.309476229,-2.41686,1.163068863,6.820353802,5.864101448,7.641004343,-0.401269492,0.000399833,1.516892959,-0.307728187,0.046527978,-0.38635,1.226624049,5.430017954,4.42679887,6.319607749,-0.203250844,0.014121545,3.594317844,-0.59716344,0.893784646,-5.4184,1.205236473,3.977834131,3.30045947,4.579167336,0.180062556,0.002941078,1.462058945,-0.76666675,0.030155605,-0.172355,1.191278606,3.541963094,2.973244945,4.053061861,-0.09674626,-0.000380783,2.510968779,-0.583969997,0.284261904,-1.69278,1.20837226,3.711641063,3.071603996,4.282470629,0.178161407,0.007703659,1.834837297,0.241942991,0.116035694,-0.86253,1.228879422,6.39170218,5.201244375,7.374074949,0.740826728,D:/full//normal\13.1072.csv
2,14,normal,normal,-0.003637202,2.150612984,4.138177413,1.598855057,-6.267,1.595314094,5.081820379,3.185466987,6.290659776,2.467511647,0.046743691,3.834189021,-1.021571018,1.32723925,-6.6176,1.153739264,3.870197443,3.35448187,4.338750222,-0.352697081,-0.000457659,2.530914488,-0.634313423,0.306284562,-2.24731,1.163582057,6.237995554,5.361027628,6.989856368,-0.393253609,0.000529702,1.528015946,-0.22645947,0.049383034,-0.42104,1.232547036,5.513674264,4.473398663,6.43686325,-0.188461377,-0.036098389,3.516822174,-0.24862977,0.812288387,-5.3356,1.241773498,4.23627691,3.411473121,4.984122777,0.077434601,0.002480499,1.465975742,-0.697365113,0.031505439,-0.185659,1.198322434,3.693657114,3.082356641,4.242628908,-0.086522461,-0.012102731,2.216301313,-0.0185041,0.198622651,-1.5687,1.255239906,5.488994405,4.372864802,6.487946755,0.033561409,0.017536466,1.91025772,0.063220982,0.13298741,-0.96741,1.236220505,6.284034124,5.083263138,7.279234782,0.694690257,D:/full//normal\14.336.csv
3,14.8,normal,normal,0.002550027,2.149441811,3.967702255,1.61255598,-6.3006,1.589255051,5.000189514,3.146247364,6.185734739,2.433329634,0.027897364,3.818172506,-0.998584615,1.291971047,-6.5817,1.155491941,4.009879425,3.470279005,4.496963822,-0.352714301,-0.000599256,2.5426056,-0.612938634,0.309719737,-2.32807,1.166121334,6.318190216,5.418124195,7.08673932,-0.401679263,0.00044841,1.535302937,-0.207635792,0.051197938,-0.41167,1.237771746,5.305467773,4.286305444,6.216482627,-0.175453523,-0.033786778,3.549807008,-0.340281015,0.847369546,-5.145,1.230203871,3.865830304,3.142430612,4.515235393,0.152463701,0.002586272,1.463989523,-0.715209095,0.030815047,-0.185616,1.19614477,3.933317005,3.288328557,4.512733198,-0.073808321,-0.013094666,2.250592038,0.086883494,0.208231735,-1.57229,1.2577068,5.048965491,4.014421716,5.976059394,0.281439863,0.019338502,1.919532226,0.018246325,0.135144436,-0.96375,1.235199557,6.260704231,5.068577136,7.249634595,0.67458593,D:/full//normal\15.1552.csv
4,15.8,normal,normal,0.004699509,2.16251225,3.813741933,1.625236897,-6.373,1.579440122,4.958330361,3.139296191,6.121403691,2.401377792,-0.00537285,3.695580347,-1.000170091,1.136210492,-5.927,1.155546867,4.127975592,3.572313429,4.624237034,-0.337204997,-0.000762524,2.589292822,-0.527783419,0.326869292,-2.39119,1.168937823,6.203569711,5.307014272,6.964937677,-0.417550404,0.000432841,1.550923429,-0.159750747,0.054969296,-0.45312,1.240198592,5.307856201,4.279843758,6.224520144,-0.135008558,-0.038045876,3.491337894,-0.203241094,0.791767439,-5.1851,1.246213894,4.113556398,3.300842991,4.848474974,-0.072455952,0.002785336,1.459962542,-0.86485801,0.029374413,-0.16258,1.182228135,3.295212392,2.787289773,3.754414191,-0.077106091,-0.062759922,2.440060855,0.009741439,0.266955275,-2.1492,1.251784075,5.099881845,4.074090691,6.02619372,0.145214634,0.014026355,1.880100794,-0.100899459,0.125708888,-0.83014,1.218677697,5.577019371,4.576287383,6.405790579,0.616928369,D:/full//normal\16.1792.csv
5,16.8,normal,normal,-0.002639092,2.163104353,3.819208595,1.624727853,-6.459,1.571272722,4.906867033,3.122861463,6.037446405,2.402431627,0.003029367,3.623328498,-1.026738474,1.055433437,-5.1973,1.15389058,3.759591831,3.258187471,4.211248564,-0.325467503,-0.000562932,2.599390438,-0.489275095,0.330754908,-2.47913,1.171005111,6.262969919,5.348371123,7.036500816,-0.433108749,0.000383867,1.562058105,-0.062426481,0.057574354,-0.51727,1.243915903,5.679406745,4.56574816,6.667493304,-0.12467758,-0.013018324,3.866706681,-0.960317228,1.264647298,-6.2184,1.167385166,3.141741907,2.691264201,3.541277531,0.314178463,0.002738297,1.45989769,-0.881078679,0.02934602,-0.163717,1.181986512,3.442484049,2.912456288,3.924465285,-0.077551898,-0.011769961,2.994285326,-1.138199192,0.517125871,-2.6036,1.157451823,3.027667284,2.615804153,3.41452407,0.090059637,0.011379794,1.874983156,0.043659956,0.12452238,-0.87701,1.223577443,6.005457223,4.908113711,6.914231799,0.66493134,D:/full//normal\17.2032.csv
6,18,normal,normal,-0.002508856,2.15214257,3.734697695,1.631818119,-6.3477,1.564021814,4.843448999,3.096791206,5.945002175,2.385377489,0.026955888,3.685961213,-0.854675581,1.103432338,-6.0577,1.163920309,4.380237294,3.763348107,4.930413808,-0.414823395,-0.000840725,2.581988595,-0.485015512,0.322612845,-2.3589,1.172512254,5.995711256,5.113559568,6.742516687,-0.421565926,0.000336613,1.576691468,-0.097758137,0.060911725,-0.54364,1.244284386,5.718725144,4.595995262,6.719587262,-0.111148662,0.09458567,3.868451895,-0.857987956,1.205270916,-6.4653,1.188463337,3.459770956,2.911129733,3.962851171,0.012196068,0.003139167,1.460679831,-0.776317884,0.029673877,-0.184443,1.187631659,4.036299367,3.398612133,4.610820497,-0.103820346,0.018375675,2.620675879,-0.406060677,0.321425835,-2.16937,1.225749138,4.708115288,3.841010482,5.475528335,0.250069215,0.0131015,1.885811962,0.150725499,0.127139196,-0.91561,1.231727543,6.152573197,4.995076414,7.109552346,0.698158252,D:/full//normal\18.432.csv
7,19.2,normal,normal,0.00054604,2.150200639,3.595486845,1.643698804,-6.3302,1.55597384,4.775935347,3.069418794,5.851070427,2.356485615,0.004006136,3.646903293,-0.813241714,1.050099836,-5.9192,1.167300379,4.459441633,3.820303423,5.025790099,-0.407902294,-0.000155476,2.56719193,-0.61779903,0.314864528,-2.4671,1.17110587,6.210275523,5.302915544,6.988043498,-0.367905863,0.000404437,1.616625215,0.017167974,0.069649252,-0.66748,1.251589782,6.511391687,5.20249668,7.678121925,-0.130453119,0.080420039,3.364728957,0.010885888,0.701648408,-4.6963,1.25454141,4.269902569,3.4035565,5.046973295,-0.199754626,0.002671847,1.459443943,-0.879973771,0.029171666,-0.16656,1.180408218,3.544664219,3.002913878,4.037085072,-0.095496909,0.043718258,2.340484771,-0.233558714,0.235725565,-1.62676,1.230286686,4.358980476,3.543060757,5.091764235,-0.211788323,0.013487869,1.930205545,0.135242146,0.136813147,-0.9741,1.231471755,6.085748221,4.941849618,7.036395261,0.696739141,D:/full//normal\19.6608.csv
8,19.8,normal,normal,-0.000552931,2.149881704,3.570276946,1.645931787,-6.2874,1.552673785,4.777075277,3.076676714,5.846182655,2.351218622,-0.000910255,3.632326621,-0.790752033,1.038164079,-5.8003,1.168257932,4.485829059,3.839759128,5.054613245,-0.418645845,-0.000554546,2.581455632,-0.595138491,0.319344134,-2.45441,1.172992732,5.892436221,5.023420914,6.637265179,-0.364885991,0.00036486,1.620888123,-0.011469742,0.070557903,-0.64649,1.249817356,5.84735646,4.678568777,6.888320249,-0.137860419,-0.026942727,3.383948751,-0.487841297,0.719681162,-4.7724,1.204435561,4.010539012,3.329807873,4.601940533,0.200712418,0.002740974,1.458923732,-0.896925175,0.028984203,-0.163909,1.178286884,3.489670681,2.961647734,3.967954254,-0.098664055,-0.019041479,2.42620584,-0.285345454,0.257504233,-2.08098,1.22661644,5.329382186,4.344782943,6.210123132,0.248565219,0.013546382,1.935646667,0.180273448,0.138067946,-0.99201,1.233676219,6.02077265,4.88035074,6.968442638,0.70894963,D:/full//normal\20.2752.csv
9,21.2,normal,normal,0.001391521,2.151135486,3.433022628,1.658025766,-6.3496,1.543289115,4.693555144,3.041267575,5.730218284,2.322123118,0.007275726,3.591451458,-0.816950113,0.992349745,-5.5673,1.167264312,4.520261175,3.872525811,5.093429154,-0.420242216,-0.000482298,2.583191601,-0.610303,0.321673848,-2.44519,1.169318192,6.0829846,5.202163656,6.837232953,-0.364205178,0.000325397,1.645553978,-0.061618775,0.075736122,-0.65069,1.24835163,5.736711726,4.595429356,6.754436965,-0.122399398,0.006296946,3.174687602,0.221099234,0.571260198,-4.4573,1.266102287,4.997385512,3.947063015,5.926608099,-0.061884009,0.002477423,1.458439963,-0.922344657,0.028779037,-0.162196,1.176347916,3.372814312,2.867191131,3.832150287,-0.100395413,0.025147261,2.322495389,0.620906911,0.22871629,-2.09114,1.293104574,6.22364728,4.812949707,7.476879817,-0.190139848,0.011826539,1.929733469,0.108562736,0.136459528,-0.94545,1.228971778,5.832187425,4.745582874,6.736014813,0.684120717,D:/full//normal\21.7088.csv
